# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2015-02-19 11:27:50 EST       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 05594000 SHOAL CREEK NEAR BREESE, IL
# -----------------------------------------------------------------------------------
#
# Data provided for site 05594000
#    DD parameter statistic   Description
#    04   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	04_00060_00003	04_00060_00003_cd
5s	15s	20d	14n	10s
USGS	05594000	1909-11-05	98	A
USGS	05594000	1909-11-06	90	A
USGS	05594000	1909-11-07	98	A
USGS	05594000	1909-11-08	183	A
USGS	05594000	1909-11-09	1800	A
USGS	05594000	1909-11-10	1020	A
USGS	05594000	1909-11-11	283	A
USGS	05594000	1909-11-12	221	A
USGS	05594000	1909-11-13	2240	A
USGS	05594000	1909-11-14	2710	A
USGS	05594000	1909-11-15	2600	A
USGS	05594000	1909-11-16	2810	A
USGS	05594000	1909-11-17	3050	A
USGS	05594000	1909-11-18	2920	A
USGS	05594000	1909-11-19	2680	A
USGS	05594000	1909-11-20	1200	A
USGS	05594000	1909-11-21	606	A
USGS	05594000	1909-11-22	840	A
USGS	05594000	1909-11-23	1440	A
USGS	05594000	1909-11-24	1720	A
USGS	05594000	1909-11-25	1090	A
USGS	05594000	1909-11-26	502	A
USGS	05594000	1909-11-27	315	A
USGS	05594000	1909-11-28	221	A
USGS	05594000	1909-11-29	221	A
USGS	05594000	1909-11-30	195	A
USGS	05594000	1909-12-01	183	A
USGS	05594000	1909-12-02	141	A
USGS	05594000	1909-12-03	172	A
USGS	05594000	1909-12-04	141	A
USGS	05594000	1909-12-05	172	A
USGS	05594000	1909-12-06	228	A
USGS	05594000	1909-12-07	267	A
USGS	05594000	1909-12-08	180	A
USGS	05594000	1909-12-09	130	A
USGS	05594000	1909-12-10	120	A
USGS	05594000	1909-12-11	267	A
USGS	05594000	1909-12-12	678	A
USGS	05594000	1909-12-13	2100	A
USGS	05594000	1909-12-14	2450	A
USGS	05594000	1909-12-15	1800	A
USGS	05594000	1909-12-16	1290	A
USGS	05594000	1909-12-17	840	A
USGS	05594000	1909-12-18	696	A
USGS	05594000	1909-12-19	606	A
USGS	05594000	1909-12-20	500	A
USGS	05594000	1909-12-21	400	A
USGS	05594000	1909-12-22	300	A
USGS	05594000	1909-12-23	240	A
USGS	05594000	1909-12-24	220	A
USGS	05594000	1909-12-25	200	A
USGS	05594000	1909-12-26	170	A
USGS	05594000	1909-12-27	130	A
USGS	05594000	1909-12-28	100	A
USGS	05594000	1909-12-29	80	A
USGS	05594000	1909-12-30	70	A
USGS	05594000	1909-12-31	70	A
USGS	05594000	1910-01-01	70	A
USGS	05594000	1910-01-02	70	A
USGS	05594000	1910-01-03	70	A
USGS	05594000	1910-01-04	70	A
USGS	05594000	1910-01-05	70	A
USGS	05594000	1910-01-06	60	A
USGS	05594000	1910-01-07	60	A
USGS	05594000	1910-01-08	60	A
USGS	05594000	1910-01-09	70	A
USGS	05594000	1910-01-10	70	A
USGS	05594000	1910-01-11	70	A
USGS	05594000	1910-01-12	100	A
